user,date,komentar,reviewCreatedVersion
Mochammad Mustofa,2025-05-18 03:55:59,konyol makin lama makin lemot sering trobel,8.7.0
Dadan Yuardan,2025-05-18 03:54:27,"Ah gangguan sistem mulu jadi menguras pulsa saja, malah error mulu nih.",8.7.0
Nulz 014,2025-05-18 03:42:47,"loadingnya lama banget Pdahal buka apk lain engga mytelkomsel doang, aku beli pket telkomsel terus lho harga makin mahal kualitas nya jangan di kurang in lah kalo gabisa di naik in minimal di pertahanin,buka apk telkomsel nge lag di pke buat vc nge lag paket an masih banyak memori juga masih kosong masa telkomsel nge lag kan ga lucu tolong dong perbaikin",8.7.0
Satriyo Ricko,2025-05-18 03:39:44,"mau cek paketan aja lelet nya minta ampunnn, aplikasinya heran bgt dah",8.7.0
Alfi Syukri,2025-05-18 03:38:17,karna bayak bonus ya,8.7.0
Humala Muda daulay,2025-05-18 03:37:31,lemot ajgg penyimpanan juga byak bgt,8.7.0
Budiantoro,2025-05-18 03:36:55,Sangat Luar Biasaaaa... 👍🏻👍🏻👍🏻👍🏻👍🏻 😘😘😘😘😘,8.7.0
Reza Aryawan,2025-05-18 03:31:27,tambah berat aplikasinya gk enak,8.7.0
herry BenKLazS,2025-05-18 03:30:32,lamban bertele tele bodoh,8.7.0
Rizki,2025-05-18 03:26:06,nggk jelas aplikasi masa iya gua tm telpon sekali malah kena 2 kali tm bngke,8.7.0
Muhammad Adithia,2025-05-18 03:12:30,aplikasi apa sih ini. super lemot parah,8.7.0
fahri amin,2025-05-18 03:01:33,"buat ceck saldo aja susah, harga makin naik, kuota makin dikit pelayanan jaringan gitu gitu aja",8.7.0
Yossy,2025-05-18 02:56:25,lemot buat cek kuota,8.7.0
"Afrizal, RAh.M",2025-05-18 02:54:27,aplikasi tidak bagus..... tolong diperbaiki lgi... tidak bisa refresh sisa quota.. pdhal hp sampe direstart.. menu tampilan loading terus. pdhal koneksi aman.... sungguh merugikan!!!,8.7.0
Pengguna Google,2025-05-18 02:48:03,"masih tidak ada perubahan, sampah digital, lebih cepat cek melalui 888 atau 363. Buang² RAM di hp saja. tarif tambah mahal kualitas jalan di tempat. Perhatikan pelanggan di Saumlaki dong, harga pulsa dah mahal, paketan mahal kualitas 👎👎👎",8.7.0
Novri Utama,2025-05-18 02:45:07,jaringan sampah lola menghambat pekrjaan,8.7.0
Mulyadi Ardiansyah,2025-05-18 02:42:40,jelek bener sinyal ya gimna ni parah amat sinyal ya tiba-tiba suka ngilang data internet ya mana kuotanya mahal tp jaringan internet ya lemot,8.7.0
Mita Ameilia Putri,2025-05-18 02:41:47,"harga kouta mahaal bangett dan kualitas ga sesuai hargaa, jelek banget sumpah lambat. apalagi minus nya kalau lagi mati lampu dkat sekitar kita beuhhh jaringan hampir ga bagus. gw tinggal di tengah kota bukan nya pelosok, astaghfirullah deh buat jaringan dan harga kouta nya!",8.7.0
Ilham baharudin Yusuf,2025-05-18 02:39:57,sering bgt update,8.7.0
Muhammad Dzaky Rafianto,2025-05-18 02:39:43,pelayanannya makin busuk.,8.7.0
Nico guruh Saputro,2025-05-18 02:38:32,telkomsel layanan yg paling lama tp bikin ribet dan jaringan kalah sama yg lain aneh..masuk aplikasi di buat susah,8.7.0
immawan wahyudin,2025-05-18 02:37:52,performa menurun,8.7.0
Zalfa Qurrotu Aini,2025-05-18 02:36:32,Makin mahalnya aja harga paketnya 😏,8.7.0
Nepath Ю,2025-05-18 02:32:33,"TELKOMJING PASSWORD NYA,HARGA MAHAL SINYAL NGELAG YEAYY😘, NTAH SERVER ATAU APLIKASI LU YG BUSUK,GW SETIAP BELI PULSA GAPERNAH MASUK DI APLIKASINYA, TAPI NGECEK DI *888# MAH ADA",8.7.0
Giyok Sumanter,2025-05-18 02:32:22,logon nya mulai eror update terbaru makin tambah payah di gunakan,8.7.0
Destyo Nugroho,2025-05-18 02:24:10,Makin mahal yo...hihihihu,8.7.0
